Название,Артикул,Категория,Цена без карты,Цена с картой
Гибкая черепица DOCKE Pie Basic Шестигранник Коричневая,22029001,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Шестигранник Красная,22029101,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Шестигранник Серая,22029201,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Premium Льеж вагаси,22193701,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",2 399.00 ₽,2 279.05 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Вестерн Прерия,22273501,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",2 349.00 ₽,2 231.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Джаз Терра,22273601,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 899.00 ₽,1 804.05 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Финская Аккорд красная,19194501,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",1 249.00 ₽,1 186.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Ранчо серый,19194001,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",975.00 ₽,926.25 ₽
Коньково-карнизная черепица DOCKE Pie Standard Коричневая,20360501,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",4 430.79 ₽,4 209.25 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Оптима красный,23044701,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",780.04 ₽,741.04 ₽
Коньково-карнизная черепица DOCKE Pie Standard Красная,20360601,"Главная,Каталог,Строительные материалы,Кровля,Мягкая черепица",4 430.79 ₽,4 209.25 ₽
